annee;code_NAF1;libelle_NAF1;NAF1;code_NAF5;libelle_NAF5;NAF5;ordre_taille_entreprise;taille_entreprise;nb_entreprises;nb_salaries;nb_salaries_int;nb_entreprises_int
2015;A;Agriculture, sylviculture et pêche;A - Agriculture, sylviculture et pêche;0128Z;Culture de plantes à épices, aromatiques, médicinales et pharmaceutiques;0128Z - Culture de plantes à épices, aromatiques, médicinales et pharmaceutiques;1;'Moins de 10;16;30;30;16
2015;A;Agriculture, sylviculture et pêche;A - Agriculture, sylviculture et pêche;0128Z;Culture de plantes à épices, aromatiques, médicinales et pharmaceutiques;0128Z - Culture de plantes à épices, aromatiques, médicinales et pharmaceutiques;2;'10-19;0;0;0;0
2015;A;Agriculture, sylviculture et pêche;A - Agriculture, sylviculture et pêche;0128Z;Culture de plantes à épices, aromatiques, médicinales et pharmaceutiques;0128Z - Culture de plantes à épices, aromatiques, médicinales et pharmaceutiques;3;'20-49;0;0;0;0
2015;A;Agriculture, sylviculture et pêche;A - Agriculture, sylviculture et pêche;0128Z;Culture de plantes à épices, aromatiques, médicinales et pharmaceutiques;0128Z - Culture de plantes à épices, aromatiques, médicinales et pharmaceutiques;4;'50-149;0;0;0;0
2015;A;Agriculture, sylviculture et pêche;A - Agriculture, sylviculture et pêche;0128Z;Culture de plantes à épices, aromatiques, médicinales et pharmaceutiques;0128Z - Culture de plantes à épices, aromatiques, médicinales et pharmaceutiques;5;'150-199;0;0;0;0
2015;A;Agriculture, sylviculture et pêche;A - Agriculture, sylviculture et pêche;0128Z;Culture de plantes à épices, aromatiques, médicinales et pharmaceutiques;0128Z - Culture de plantes à épices, aromatiques, médicinales et pharmaceutiques;6;'200-499;0;0;0;0
2015;A;Agriculture, sylviculture et pêche;A - Agriculture, sylviculture et pêche;0128Z;Culture de plantes à épices, aromatiques, médicinales et pharmaceutiques;0128Z - Culture de plantes à épices, aromatiques, médicinales et pharmaceutiques;7;'500 et plus;0;0;0;0
2015;A;Agriculture, sylviculture et pêche;A - Agriculture, sylviculture et pêche;0128Z;Culture de plantes à épices, aromatiques, médicinales et pharmaceutiques;0128Z - Culture de plantes à épices, aromatiques, médicinales et pharmaceutiques;;'Toutes tranches d'effectifs confondues;16;30;30;16
2015;A;Agriculture, sylviculture et pêche;A - Agriculture, sylviculture et pêche;0129Z;Autres cultures permanentes;0129Z - Autres cultures permanentes;1;'Moins de 10;5;8;8;5
2015;A;Agriculture, sylviculture et pêche;A - Agriculture, sylviculture et pêche;0129Z;Autres cultures permanentes;0129Z - Autres cultures permanentes;2;'10-19;0;0;0;0
2015;A;Agriculture, sylviculture et pêche;A - Agriculture, sylviculture et pêche;0129Z;Autres cultures permanentes;0129Z - Autres cultures permanentes;3;'20-49;0;0;0;0
2015;A;Agriculture, sylviculture et pêche;A - Agriculture, sylviculture et pêche;0129Z;Autres cultures permanentes;0129Z - Autres cultures permanentes;4;'50-149;0;0;0;0
2015;A;Agriculture, sylviculture et pêche;A - Agriculture, sylviculture et pêche;0129Z;Autres cultures permanentes;0129Z - Autres cultures permanentes;5;'150-199;0;0;0;0
2015;A;Agriculture, sylviculture et pêche;A - Agriculture, sylviculture et pêche;0129Z;Autres cultures permanentes;0129Z - Autres cultures permanentes;6;'200-499;0;0;0;0
2015;A;Agriculture, sylviculture et pêche;A - Agriculture, sylviculture et pêche;0129Z;Autres cultures permanentes;0129Z - Autres cultures permanentes;7;'500 et plus;0;0;0;0
2015;A;Agriculture, sylviculture et pêche;A - Agriculture, sylviculture et pêche;0129Z;Autres cultures permanentes;0129Z - Autres cultures permanentes;;'Toutes tranches d'effectifs confondues;5;8;8;5
2015;A;Agriculture, sylviculture et pêche;A - Agriculture, sylviculture et pêche;0130Z;Reproduction de plantes;0130Z - Reproduction de plantes;1;'Moins de 10;110;218;218;110
2015;A;Agriculture, sylviculture et pêche;A - Agriculture, sylviculture et pêche;0130Z;Reproduction de plantes;0130Z - Reproduction de plantes;2;'10-19;7;83;83;7
2015;A;Agriculture, sylviculture et pêche;A - Agriculture, sylviculture et pêche;0130Z;Reproduction de plantes;0130Z - Reproduction de plantes;3;'20-49;3;66;66;3
2015;A;Agriculture, sylviculture et pêche;A - Agriculture, sylviculture et pêche;0130Z;Reproduction de plantes;0130Z - Reproduction de plantes;4;'50-149;0;0;0;0
2015;A;Agriculture, sylviculture et pêche;A - Agriculture, sylviculture et pêche;0130Z;Reproduction de plantes;0130Z - Reproduction de plantes;5;'150-199;0;0;0;0
2015;A;Agriculture, sylviculture et pêche;A - Agriculture, sylviculture et pêche;0130Z;Reproduction de plantes;0130Z - Reproduction de plantes;6;'200-499;0;0;0;0
2015;A;Agriculture, sylviculture et pêche;A - Agriculture, sylviculture et pêche;0130Z;Reproduction de plantes;0130Z - Reproduction de plantes;7;'500 et plus;0;0;0;0
2015;A;Agriculture, sylviculture et pêche;A - Agriculture, sylviculture et pêche;0130Z;Reproduction de plantes;0130Z - Reproduction de plantes;;'Toutes tranches d'effectifs confondues;120;367;367;120
