annee;code_NAF5;libelle_NAF5;risque;nb_jours_arret_travail
2018;0111Z;Culture de céréales (à l'exception du riz), de légumineuses et de graines oléagineuses;Accidents de trajet;92.0
2018;0111Z;Culture de céréales (à l'exception du riz), de légumineuses et de graines oléagineuses;Accidents du travail;547.0
2018;0111Z;Culture de céréales (à l'exception du riz), de légumineuses et de graines oléagineuses;Maladies professionnelles;1078.0
2018;0112Z;Culture du riz;Accidents de trajet;
2018;0112Z;Culture du riz;Accidents du travail;
2018;0112Z;Culture du riz;Maladies professionnelles;
2018;0113Z;Culture de légumes, de melons, de racines et de tubercules;Accidents de trajet;411.0
2018;0113Z;Culture de légumes, de melons, de racines et de tubercules;Accidents du travail;1767.0
2018;0113Z;Culture de légumes, de melons, de racines et de tubercules;Maladies professionnelles;47.0
2018;0114Z;Culture de la canne à sucre;Accidents de trajet;0.0
2018;0114Z;Culture de la canne à sucre;Accidents du travail;1385.0
2018;0114Z;Culture de la canne à sucre;Maladies professionnelles;0.0
2018;0115Z;Culture du tabac;Accidents de trajet;0.0
2018;0115Z;Culture du tabac;Accidents du travail;0.0
2018;0115Z;Culture du tabac;Maladies professionnelles;0.0
2018;0116Z;Culture de plantes à fibres;Accidents de trajet;
2018;0116Z;Culture de plantes à fibres;Accidents du travail;
2018;0116Z;Culture de plantes à fibres;Maladies professionnelles;
2018;0119Z;Autres cultures non permanentes;Accidents de trajet;0.0
2018;0119Z;Autres cultures non permanentes;Accidents du travail;224.0
2018;0119Z;Autres cultures non permanentes;Maladies professionnelles;51.0
2018;0121Z;Culture de la vigne;Accidents de trajet;0.0
2018;0121Z;Culture de la vigne;Accidents du travail;456.0
2018;0121Z;Culture de la vigne;Maladies professionnelles;142.0
2018;0122Z;Culture de fruits tropicaux et subtropicaux;Accidents de trajet;831.0
2018;0122Z;Culture de fruits tropicaux et subtropicaux;Accidents du travail;8717.0
2018;0122Z;Culture de fruits tropicaux et subtropicaux;Maladies professionnelles;1654.0
2018;0123Z;Culture d'agrumes;Accidents de trajet;0.0
2018;0123Z;Culture d'agrumes;Accidents du travail;0.0
2018;0123Z;Culture d'agrumes;Maladies professionnelles;0.0
2018;0124Z;Culture de fruits à pépins et à noyau;Accidents de trajet;365.0
2018;0124Z;Culture de fruits à pépins et à noyau;Accidents du travail;1757.0
2018;0124Z;Culture de fruits à pépins et à noyau;Maladies professionnelles;553.0
2018;0125Z;Culture d'autres fruits d'arbres ou d'arbustes et de fruits à coque;Accidents de trajet;0.0
2018;0125Z;Culture d'autres fruits d'arbres ou d'arbustes et de fruits à coque;Accidents du travail;0.0
2018;0125Z;Culture d'autres fruits d'arbres ou d'arbustes et de fruits à coque;Maladies professionnelles;0.0
2018;0126Z;Culture de fruits oléagineux;Accidents de trajet;
2018;0126Z;Culture de fruits oléagineux;Accidents du travail;
2018;0126Z;Culture de fruits oléagineux;Maladies professionnelles;
2018;0127Z;Culture de plantes à boissons;Accidents de trajet;
2018;0127Z;Culture de plantes à boissons;Accidents du travail;
2018;0127Z;Culture de plantes à boissons;Maladies professionnelles;
2018;0128Z;Culture de plantes à épices, aromatiques, médicinales et pharmaceutiques;Accidents de trajet;0.0
2018;0128Z;Culture de plantes à épices, aromatiques, médicinales et pharmaceutiques;Accidents du travail;0.0
2018;0128Z;Culture de plantes à épices, aromatiques, médicinales et pharmaceutiques;Maladies professionnelles;0.0
2018;0129Z;Autres cultures permanentes;Accidents de trajet;0.0
2018;0129Z;Autres cultures permanentes;Accidents du travail;0.0
2018;0129Z;Autres cultures permanentes;Maladies professionnelles;0.0
2018;0130Z;Reproduction de plantes;Accidents de trajet;0.0
2018;0130Z;Reproduction de plantes;Accidents du travail;255.0
2018;0130Z;Reproduction de plantes;Maladies professionnelles;281.0
2018;0141Z;Élevage de vaches laitières;Accidents de trajet;0.0
2018;0141Z;Élevage de vaches laitières;Accidents du travail;0.0
2018;0141Z;Élevage de vaches laitières;Maladies professionnelles;0.0
2018;0142Z;Élevage d'autres bovins et de buffles;Accidents de trajet;128.0
2018;0142Z;Élevage d'autres bovins et de buffles;Accidents du travail;170.0
2018;0142Z;Élevage d'autres bovins et de buffles;Maladies professionnelles;59.0
2018;0143Z;Élevage de chevaux et d'autres équidés;Accidents de trajet;0.0
2018;0143Z;Élevage de chevaux et d'autres équidés;Accidents du travail;59.0
2018;0143Z;Élevage de chevaux et d'autres équidés;Maladies professionnelles;360.0
2018;0144Z;Élevage de chameaux et d'autres camélidés;Accidents de trajet;0.0
2018;0144Z;Élevage de chameaux et d'autres camélidés;Accidents du travail;0.0
2018;0144Z;Élevage de chameaux et d'autres camélidés;Maladies professionnelles;0.0
2018;0145Z;Élevage d'ovins et de caprins;Accidents de trajet;0.0
2018;0145Z;Élevage d'ovins et de caprins;Accidents du travail;0.0
2018;0145Z;Élevage d'ovins et de caprins;Maladies professionnelles;0.0
2018;0146Z;Élevage de porcins;Accidents de trajet;30.0
2018;0146Z;Élevage de porcins;Accidents du travail;365.0
2018;0146Z;Élevage de porcins;Maladies professionnelles;0.0
2018;0147Z;Élevage de volailles;Accidents de trajet;28.0
2018;0147Z;Élevage de volailles;Accidents du travail;773.0
2018;0147Z;Élevage de volailles;Maladies professionnelles;0.0
2018;0149Z;Élevage d'autres animaux;Accidents de trajet;0.0
2018;0149Z;Élevage d'autres animaux;Accidents du travail;346.0
2018;0149Z;Élevage d'autres animaux;Maladies professionnelles;0.0
2018;0150Z;Culture et élevage associés;Accidents de trajet;0.0
2018;0150Z;Culture et élevage associés;Accidents du travail;561.0
2018;0150Z;Culture et élevage associés;Maladies professionnelles;0.0
2018;0161Z;Activités de soutien aux cultures;Accidents de trajet;0.0
2018;0161Z;Activités de soutien aux cultures;Accidents du travail;1224.0
2018;0161Z;Activités de soutien aux cultures;Maladies professionnelles;618.0
